GRDC,latitude,longitude,catchment_area
6343535,47.82,12.65,179.9
6343110,47.8881,11.831,202.7
6559110,46.3097,13.4778,50.21
6342940,47.77,11.57,20.6
6342810,48.091695,9.149755,155.0
6335671,48.586485,8.603951,134.4
6343531,47.8337,12.648,273.2
6340360,50.774489,12.060282,296.7
6246632,47.37,13.482778,86.5
6243220,47.5197,12.4425,165.9
6139550,46.155892,4.99668,102.0
6139735,44.95,5.87,71.6
6335696,48.622759,9.83928,146.0
6348600,45.7834,9.4359,-999.0
6221670,50.201104,4.798408,161.0
6243410,46.865,11.0197,72.5
6340400,51.310552,13.25312,211.0
6135100,48.08,7.38,159.0
6235110,47.3864,10.0411,30.94
6935060,47.284,7.3823,183.0
6340310,51.468707,10.810198,200.6
6242260,47.7653,14.1706,184.9
6235100,47.3553,9.8814,227.36
6935120,46.7768,6.7242,105.0
6935070,47.4881,7.7341,261.0
6135110,48.902706,8.04798,202.0
6246155,47.0375,12.84277778,142.1
6340410,50.953832,13.853698,198.0
6935345,47.0163,7.8903,0.6
6338010,51.832562,6.47232,258.0
6242270,47.8031,14.1386,72.4
6334280,54.770658,8.976074,134.0
6357521,50.891976,14.802623,278.0
6335055,47.987783,7.898793,257.0
6335470,47.729498,9.24493,271.5
6340671,50.325,12.259,171.0
6139725,45.04,6.18,220.0
6343555,47.62,12.95,122.3
6342947,47.59,11.54,7.8
6342950,47.43,11.26,111.6
6335676,48.984121,9.458716,180.0
6935150,46.7567,8.9805,13.0
6139825,45.719755,6.102802,249.0
6243230,47.4414,12.8197,112.3
6243360,47.0933,11.4658,111.4
6242951,47.39,11.26,203.6
6340612,51.164241,14.406338,275.9
6246635,47.1769,13.7053,77.1
6139832,46.282056,5.921547,85.0
6935335,46.9101,8.561,43.9
6139530,46.415645,5.867245,216.0
6242280,47.67,14.33,40.2
6246121,46.94,14.55,130.3
6335735,48.490087,8.145405,107.7
6335665,48.695677,9.318533,127.1
6935080,46.8852,7.5017,117.0
6935331,46.4263,7.4729,35.7
6139370,45.29,4.8,95.0
6242621,48.134167,14.008056,68.3
6246631,47.1339,13.6842,102.1
6335550,48.559907,9.266819,161.0
6335175,49.209637,8.052761,196.0
6221610,50.042686,4.844254,114.0
6935315,46.6864,7.2815,1.65
6243210,47.52,12.4031,147.4
6559120,46.1872,13.7357,73.08
6337542,51.378703,9.970453,275.0
6342820,48.62954,13.36914,211.4
6349411,46.5948,12.111,82.0
6935412,47.332,9.4106,74.2
6243450,46.9381,10.49,107.8
6335155,49.950818,8.452623,136.0
6335570,48.584384,8.125898,53.4
6934870,55.04735,9.09297,103.0
6246185,47.0261,12.6344,13.9
6343120,47.69,11.78,31.1
6939520,46.4189,7.8175,77.8
6139510,46.271939,5.516561,228.0
6139440,44.98,6.48,78.5
6243260,47.23,12.25,80.7
6836600,49.78485346,6.05641448,291.5
6948520,46.2016,9.1689,8.06
6335580,48.340419,7.868864,130.0
6340430,50.941862,14.13386,267.0
6948360,46.3696,8.5429,24.0
6935100,47.0806,8.8138,59.2
6935361,47.1225,7.8282,59.9
6934800,55.06221,8.82536,290.0
6349600,46.335,13.1341,-999.0
6135800,47.633335,7.233333,233.0
6221640,49.693687,5.512989,220.0
6139560,46.118646,5.198074,34.0
6939550,46.3167,7.9868,77.7
6335635,49.249141,9.456837,152.0
6337521,51.031445,8.386279,84.7
6948111,46.399,10.0672,14.1
6935103,47.106462069,8.765481276,8.95
6221140,50.304333,4.829173,127.0
6342660,48.413618,11.979419,141.8
6246161,47.02,12.34,107.0
6935600,46.8598,9.5105,263.0
6948530,46.2248,8.0154,19.8
6340330,50.769252,11.542917,254.8
6421900,50.88,5.68,-999.0
6139935,47.826418,6.500482,123.0
6243270,47.2531,12.4864,79.8
6337600,50.853971,9.283338,250.0
6139795,47.030753,5.956855,217.0
6559140,46.0946,13.8326,54.7
6246165,47.0197,12.3394,35.0
6342840,48.938176,13.412422,19.3
6340420,51.022092,13.993832,227.0
6139340,45.18,4.85,232.0
6246195,47.1186,12.4956,59.9
6342050,47.785485,8.87708,134.0
6342525,49.106945,11.441377,152.3
6335560,48.380713,8.886825,131.5
6139450,45.39,5.74,89.0
6935385,46.4493,7.713,41.0
6935541,46.858,9.9369,112.0
6139283,44.9173,6.675,210.0
6243350,47.0369,11.4794,58.3
6243200,47.4553,12.39,153.0
6340340,50.565535,11.751463,158.3
6340635,50.631093,13.07852,206.0
6242615,47.804167,13.454167,247.4
6335156,50.136749,8.399592,108.0
6943115,46.6551,10.19,55.3
6335651,48.724098,8.897686,238.2
6545125,45.9885,15.2301,271.21
6421103,50.9,5.74,-999.0
6342960,48.816254,13.358568,113.3
6935545,46.9876,9.6464,63.0
6559130,46.1557,13.7757,142.31
