time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K]
2008-03-29,8.125,48.125,7.4171143,2.8535278,8.889298e-05,0.40218705,21.858075978579343,280.19266
2008-03-30,8.125,48.125,8.409935,0.0967911,0.00013864289,0.42482176,22.582784467549235,283.76196
2008-03-31,8.125,48.125,3.860171,1.1092942,0.0001003129,0.39480162,23.307492956519127,280.17227
2008-04-01,8.125,48.125,8.026685,0.31738576,0.00013990606,0.3917097,24.032201445489015,281.42844
2008-04-02,8.125,48.125,5.8573117,6.8839173,0.00021436722,0.39789256,24.756909934458907,281.16797
2008-04-03,8.125,48.125,8.661015,4.801018,0.00015028448,0.40887642,25.4816184234288,278.4138
2008-04-04,8.125,48.125,7.0040936,0.5765396,0.00013942938,0.401755,26.206326912398687,278.8437
2008-04-05,8.125,48.125,8.603406,6.2179956,0.00015193122,0.4043023,26.93103540136858,280.0839
2008-04-06,8.125,48.125,9.497689,5.3186283,0.00012602539,0.40883747,27.65574389033847,275.94766
2008-04-07,8.125,48.125,7.6025653,4.581631,0.00011018847,0.40817228,28.422789096280376,273.241
2008-04-08,8.125,48.125,7.244794,0.06606778,0.00011194197,0.39944988,29.189834302222284,274.63324
2008-04-09,8.125,48.125,3.3365119,12.293755,0.00015747058,0.40909058,29.956879508164192,279.7718
2008-04-10,8.125,48.125,2.8644829,6.617999,0.00011741553,0.42073584,30.723924714106097,281.0578
2008-04-11,8.125,48.125,4.8237424,15.909941,0.0002671647,0.42726523,31.490969920048002,281.1082
2008-04-12,8.125,48.125,8.762285,0.74618316,0.00011871247,0.41914478,32.258015125989914,280.15866
2008-04-13,8.125,48.125,10.439363,0.44398457,0.00011387645,0.4080328,33.02506033193182,281.84583
2008-04-14,8.125,48.125,7.0506454,4.6889253,0.000112109105,0.4069942,33.792105537873724,279.1848
2008-04-15,8.125,48.125,6.7698503,7.5956573,0.000113200054,0.41125375,35.510065585926725,277.09317
2008-04-16,8.125,48.125,9.401238,2.851948,0.00010103964,0.40846458,37.228025633979726,276.34152
2008-04-17,8.125,48.125,11.694984,0.76296246,9.8827e-05,0.40087277,38.94598568203272,277.7085
2008-04-18,8.125,48.125,11.625356,0.77380687,9.189899e-05,0.39449653,40.66394573008572,282.83282
2008-04-19,8.125,48.125,5.7207484,3.283409,9.151181e-05,0.39403486,42.38190577813872,282.11203
2008-04-20,8.125,48.125,7.530623,0.062359054,8.500422e-05,0.3900171,44.09986582619172,284.45016
2008-04-21,8.125,48.125,2.8965123,14.941597,0.00012416024,0.39892143,45.81782587424472,281.86188
2008-04-22,8.125,48.125,2.5539317,27.114017,0.00029286588,0.42156607,47.53578592229772,281.80554
2008-04-23,8.125,48.125,8.717238,3.562073,0.00011016232,0.41920203,49.821270146855596,283.5459
2008-04-24,8.125,48.125,10.434275,1.427073,9.223853e-05,0.4052394,52.10675437141347,285.16763
2008-04-25,8.125,48.125,9.805549,3.278157,9.697616e-05,0.3986095,54.39223859597135,284.00726
2008-04-26,8.125,48.125,11.593673,0.00032997952,9.112059e-05,0.38794136,56.677722820529226,284.59225
2008-04-27,8.125,48.125,12.721702,0.0,8.926519e-05,0.3758059,58.9632070450871,286.4746
2008-04-28,8.125,48.125,9.542861,3.0833013,9.0372465e-05,0.37159187,61.24869126964498,285.98108
2008-04-29,8.125,48.125,11.728819,2.1780307,8.96026e-05,0.4044605,63.534175494202856,282.74994
2008-04-30,8.125,48.125,7.1460075,4.2316236,8.927586e-05,0.4035488,65.81965971876073,281.7508
2008-05-01,8.125,48.125,12.3283415,0.8504247,8.171397e-05,0.40189677,67.09850841650255,282.97565
2008-05-02,8.125,48.125,12.491592,1.3614943,7.932709e-05,0.3963492,68.37735711424439,284.7546
2008-05-03,8.125,48.125,12.511832,-8.326673e-14,7.607651e-05,0.38805467,69.65620581198621,286.49033
2008-05-04,8.125,48.125,13.031559,0.0013473808,7.383916e-05,0.37938815,70.93505450972805,287.72946
2008-05-05,8.125,48.125,14.173467,-8.326673e-14,7.140588e-05,0.33471078,72.21390320746987,287.413
2008-05-06,8.125,48.125,14.055688,-8.326673e-14,6.8933565e-05,0.3255593,73.49275190521169,288.92804
2008-05-07,8.125,48.125,14.188349,-8.326673e-14,6.634658e-05,0.31770545,74.77160060295353,288.45157
2008-05-08,8.125,48.125,14.269073,-8.326673e-14,6.4117216e-05,0.31567645,76.05044930069535,288.87482
2008-05-09,8.125,48.125,14.355364,-8.326673e-14,6.177239e-05,0.30479378,72.13828981750541,290.14688
2008-05-10,8.125,48.125,14.347727,0.0023097957,5.942004e-05,0.29844403,68.22613033431547,290.99103
2008-05-11,8.125,48.125,14.04972,5.400153,5.952238e-05,0.29948038,64.31397085112555,288.68753
2008-05-12,8.125,48.125,13.420919,0.6656763,5.4925018e-05,0.30035505,60.40181136793561,288.78418
2008-05-13,8.125,48.125,14.207839,0.075370274,5.2666866e-05,0.294895,56.48965188474567,289.5723
2008-05-14,8.125,48.125,13.822426,1.1056641,5.080904e-05,0.28989154,52.57749240155573,290.065
2008-05-15,8.125,48.125,12.264782,1.763949,5.079529e-05,0.28862843,48.66533291836579,288.99374
2008-05-16,8.125,48.125,12.522483,1.5158368,4.832585e-05,0.29266816,44.75317343517586,289.5585
2008-05-17,8.125,48.125,9.282949,3.0780966,4.989215e-05,0.32458892,47.346927846471466,287.34586
2008-05-18,8.125,48.125,11.29902,3.2801793,5.6819295e-05,0.2973932,49.94068225776707,285.82202
2008-05-19,8.125,48.125,6.8566747,1.7693919,4.530178e-05,0.29951558,52.53443666906268,285.2014
2008-05-20,8.125,48.125,10.389807,0.06288802,4.1922623e-05,0.29859033,55.12819108035829,285.85864
2008-05-21,8.125,48.125,5.2613993,0.21029146,4.0912146e-05,0.292833,57.7219454916539,283.8996
2008-05-22,8.125,48.125,5.1292586,0.7754205,4.13814e-05,0.32794645,60.315699902949504,284.79965
2008-05-23,8.125,48.125,13.3140135,6.27028,4.2099018e-05,0.30175668,62.90945431424511,287.187
2008-05-24,8.125,48.125,9.361765,2.3193164,3.941433e-05,0.3072768,65.50320872554072,287.95728
2008-05-25,8.125,48.125,14.789748,1.9308002,3.86911e-05,0.30910558,64.43743559497373,291.28894
2008-05-26,8.125,48.125,9.979798,0.58797073,3.647549e-05,0.30302253,63.37166246440675,292.5345
2008-05-27,8.125,48.125,15.3319645,-8.326673e-14,3.5252448e-05,0.29826903,62.30588933383976,295.41086
2008-05-28,8.125,48.125,11.709779,1.5808773,3.481997e-05,0.29439193,61.24011620327278,294.48807
2008-05-29,8.125,48.125,11.223883,19.441542,5.0474755e-05,0.30759227,60.174343072705796,293.32535
2008-05-30,8.125,48.125,10.437274,23.505198,8.480587e-05,0.33545792,59.10856994213881,291.14618
2008-05-31,8.125,48.125,13.14593,3.2867963,3.661079e-05,0.34410387,58.04279681157182,289.5104
2008-06-01,8.125,48.125,12.450151,0.24863377,3.1615502e-05,0.3308897,56.97702368100484,291.83002
